example_id                                                              | status | run_time        |
./spec/lib/faultline/middleware_spec.rb[1:6:3]                          | passed | 0.00023 seconds |
./spec/lib/faultline/middleware_spec.rb[1:6:4]                          | passed | 0.00022 seconds |
./spec/lib/faultline/middleware_spec.rb[1:6:5]                          | passed | 0.00028 seconds |
./spec/lib/faultline/middleware_spec.rb[1:7:1]                          | passed | 0.00044 seconds |
./spec/lib/faultline/middleware_spec.rb[1:8:1]                          | passed | 0.00258 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:1:1]                      | passed | 0.00238 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:2:1]                      | passed | 0.00179 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:3:1]                      | passed | 0.00188 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:1]                      | passed | 0.0018 seconds  |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:2]                      | passed | 0.00222 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:3]                      | passed | 0.00199 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:4]                      | passed | 0.00198 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:5]                      | passed | 0.00208 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:6]                      | passed | 0.00218 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:7]                      | passed | 0.00211 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:8]                      | passed | 0.00193 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:9]                      | passed | 0.00198 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:10]                     | passed | 0.00199 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:5:1]                      | passed | 0.00238 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:5:2]                      | passed | 0.00214 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:6:1:1]                    | passed | 0.00258 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:6:2:1]                    | passed | 0.00218 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:6:3:1]                    | passed | 0.0025 seconds  |
./spec/lib/faultline/notifiers/email_spec.rb[1:1:1]                     | passed | 0.0002 seconds  |
./spec/lib/faultline/notifiers/email_spec.rb[1:1:2]                     | passed | 0.00024 seconds |
./spec/lib/faultline/notifiers/email_spec.rb[1:1:3]                     | passed | 0.00021 seconds |
./spec/lib/faultline/notifiers/email_spec.rb[1:1:4]                     | passed | 0.0002 seconds  |
./spec/lib/faultline/notifiers/email_spec.rb[1:2:1]                     | passed | 0.00213 seconds |
./spec/lib/faultline/notifiers/email_spec.rb[1:2:2]                     | passed | 0.00383 seconds |
./spec/lib/faultline/notifiers/email_spec.rb[1:2:3:1]                   | passed | 0.00199 seconds |
./spec/lib/faultline/notifiers/email_spec.rb[1:2:4:1]                   | passed | 0.00228 seconds |
./spec/lib/faultline/notifiers/email_spec.rb[1:2:5:1]                   | passed | 0.00206 seconds |
./spec/lib/faultline/notifiers/resend_spec.rb[1:1:1]                    | passed | 0.00024 seconds |
./spec/lib/faultline/notifiers/resend_spec.rb[1:1:2]                    | passed | 0.00022 seconds |
./spec/lib/faultline/notifiers/resend_spec.rb[1:1:3]                    | passed | 0.00026 seconds |
./spec/lib/faultline/notifiers/resend_spec.rb[1:1:4]                    | passed | 0.00024 seconds |
./spec/lib/faultline/notifiers/resend_spec.rb[1:2:1]                    | passed | 0.00467 seconds |
./spec/lib/faultline/notifiers/resend_spec.rb[1:2:2]                    | passed | 0.0038 seconds  |
./spec/lib/faultline/notifiers/resend_spec.rb[1:2:3:1]                  | passed | 0.00614 seconds |
./spec/lib/faultline/notifiers/resend_spec.rb[1:3:1]                    | passed | 0.00168 seconds |
./spec/lib/faultline/notifiers/resend_spec.rb[1:3:2]                    | passed | 0.00175 seconds |
./spec/lib/faultline/notifiers/resend_spec.rb[1:3:3]                    | passed | 0.00242 seconds |
./spec/lib/faultline/notifiers/resend_spec.rb[1:3:4]                    | passed | 0.00224 seconds |
./spec/lib/faultline/notifiers/resend_spec.rb[1:4:1:1]                  | passed | 0.00099 seconds |
./spec/lib/faultline/notifiers/resend_spec.rb[1:4:1:2]                  | passed | 0.00104 seconds |
./spec/lib/faultline/notifiers/resend_spec.rb[1:4:2:1]                  | passed | 0.00143 seconds |
./spec/lib/faultline/notifiers/resend_spec.rb[1:5:1]                    | passed | 0.00361 seconds |
